utr,credit_amount,credit_date,narration
stl_ff8bfa4f117043,13161.31,2026-08-11,RAZORPAY SETTLEMENT stl_ff8bfa4f117043
stl_a267a387df9b41,18988.31,2026-08-11,RAZORPAY SETTLEMENT stl_a267a387df9b41
stl_8b16688727444a,1888.22,2026-08-22,RAZORPAY SETTLEMENT stl_8b16688727444a
stl_cbd2d399695d44,16091.0,2026-08-26,RAZORPAY SETTLEMENT stl_cbd2d399695d44
stl_e6849287eb8f43,6622.7,2026-08-24,RAZORPAY SETTLEMENT stl_e6849287eb8f43
stl_b98e4499b04b41,5576.58,2026-08-08,RAZORPAY SETTLEMENT stl_b98e4499b04b41
stl_754dd2e9fc7342,21038.64,2026-08-08,RAZORPAY SETTLEMENT stl_754dd2e9fc7342
stl_be19e391d1ab44,14661.53,2026-08-18,RAZORPAY SETTLEMENT stl_be19e391d1ab44
stl_bf0d214831c742,-3213.95,2026-08-23,RAZORPAY SETTLEMENT stl_bf0d214831c742 (refund adj.)
stl_644da9f43fa24c,23688.21,2026-08-04,RAZORPAY SETTLEMENT stl_644da9f43fa24c
stl_82dd152ea21b4a,13229.52,2026-08-12,RAZORPAY SETTLEMENT stl_82dd152ea21b4a
stl_afbe75854b6a47,4103.02,2026-08-04,RAZORPAY SETTLEMENT stl_afbe75854b6a47
stl_89c4dfb867da40,12352.94,2026-08-09,RAZORPAY SETTLEMENT stl_89c4dfb867da40
stl_e0a77d65fa8542,7482.87,2026-08-24,RAZORPAY SETTLEMENT stl_e0a77d65fa8542
stl_4c2b3d978cc343,12070.48,2026-08-09,RAZORPAY SETTLEMENT stl_4c2b3d978cc343
stl_42b646f7bd9147,4693.82,2026-08-11,RAZORPAY SETTLEMENT stl_42b646f7bd9147
stl_86bb484a1b824c,1538.19,2026-08-21,RAZORPAY SETTLEMENT stl_86bb484a1b824c
stl_6b0b71818a614b,6678.46,2026-08-25,RAZORPAY SETTLEMENT stl_6b0b71818a614b
stl_c2a10fae81d345,18488.75,2026-08-10,RAZORPAY SETTLEMENT stl_c2a10fae81d345
stl_22f51c5cf95a44,15949.73,2026-08-18,RAZORPAY SETTLEMENT stl_22f51c5cf95a44
stl_392abf2c3d3a49,1835.16,2026-08-04,RAZORPAY SETTLEMENT stl_392abf2c3d3a49
stl_abc693e22b4448,465.86,2026-08-24,RAZORPAY SETTLEMENT stl_abc693e22b4448
stl_b69dbcebda234d,20914.34,2026-08-06,RAZORPAY SETTLEMENT stl_b69dbcebda234d
stl_af5f4f5bb8c747,13284.05,2026-08-22,RAZORPAY SETTLEMENT stl_af5f4f5bb8c747
stl_b7407c19a0af45,16007.55,2026-08-10,RAZORPAY SETTLEMENT stl_b7407c19a0af45
stl_f5cc0a3a3bdf41,11544.35,2026-08-05,RAZORPAY SETTLEMENT stl_f5cc0a3a3bdf41
stl_39d95de609754a,1752.92,2026-08-14,RAZORPAY SETTLEMENT stl_39d95de609754a
stl_056422af63e74a,11100.78,2026-08-17,RAZORPAY SETTLEMENT stl_056422af63e74a
utr_7a4064835efe47,4654.7,2026-08-15,NEFT CREDIT - UNKNOWN SOURCE
stl_f9bc0daebf5c46,14346.71,2026-08-21,RAZORPAY SETTLEMENT stl_f9bc0daebf5c46
stl_a6d4bf0622154c,23650.17,2026-08-11,RAZORPAY SETTLEMENT stl_a6d4bf0622154c
stl_ed9bb0aa2d5c4f,15429.57,2026-08-11,RAZORPAY SETTLEMENT stl_ed9bb0aa2d5c4f
stl_5f7ffcb0df2e4d,7164.96,2026-08-21,RAZORPAY SETTLEMENT stl_5f7ffcb0df2e4d
stl_49d7d3afd41a43,-765.26,2026-08-26,RAZORPAY SETTLEMENT stl_49d7d3afd41a43 (refund adj.)
stl_aac870dc538c44,5537.55,2026-08-05,RAZORPAY SETTLEMENT stl_aac870dc538c44
stl_930a5ff64dd54d,-404.98,2026-08-10,RAZORPAY SETTLEMENT stl_930a5ff64dd54d (refund adj.)
stl_da025dfdd6aa4a,1669.87,2026-08-24,RAZORPAY SETTLEMENT stl_da025dfdd6aa4a
stl_91415b932b9640,3759.19,2026-08-20,RAZORPAY SETTLEMENT stl_91415b932b9640
stl_ae7c46ff6f9c4e,9212.09,2026-08-22,RAZORPAY SETTLEMENT stl_ae7c46ff6f9c4e
stl_81884f04f3dd49,16130.31,2026-08-22,RAZORPAY SETTLEMENT stl_81884f04f3dd49
stl_18596140c8044f,16427.92,2026-08-14,RAZORPAY SETTLEMENT stl_18596140c8044f
stl_f087fb31bef644,15844.27,2026-08-20,RAZORPAY SETTLEMENT stl_f087fb31bef644
stl_2dbd8b81a8fc46,451.0,2026-08-23,RAZORPAY SETTLEMENT stl_2dbd8b81a8fc46
stl_49507c23f5694d,6681.93,2026-08-15,RAZORPAY SETTLEMENT stl_49507c23f5694d
stl_49b0174821b841,4093.11,2026-08-21,RAZORPAY SETTLEMENT stl_49b0174821b841
stl_a32ad26b196a47,19737.57,2026-08-20,RAZORPAY SETTLEMENT stl_a32ad26b196a47
stl_cf5cb3c8e82441,22740.84,2026-08-07,RAZORPAY SETTLEMENT stl_cf5cb3c8e82441
stl_4fcc362f9e3e44,9089.6,2026-08-10,RAZORPAY SETTLEMENT stl_4fcc362f9e3e44
stl_3eaaac51269242,9089.6,2026-08-10,RAZORPAY SETTLEMENT stl_3eaaac51269242
stl_caaf0156acaa4b,4276.71,2026-08-26,RAZORPAY SETTLEMENT stl_caaf0156acaa4b
stl_cb0ada6b69794e,4276.71,2026-08-26,RAZORPAY SETTLEMENT stl_cb0ada6b69794e
stl_5f3073d512dc4f,22172.34,2026-08-05,RAZORPAY SETTLEMENT stl_5f3073d512dc4f
stl_a927e3a2422a47,1354.77,2026-08-14,RAZORPAY SETTLEMENT stl_a927e3a2422a47
stl_e92bd2c0c3274a,16730.15,2026-08-21,RAZORPAY SETTLEMENT stl_e92bd2c0c3274a
stl_7c18ba9eba5c4f,16913.92,2026-08-08,RAZORPAY SETTLEMENT stl_7c18ba9eba5c4f
utr_ce789d43f15a4a,2434.04,2026-08-02,NEFT CREDIT - UNKNOWN SOURCE
stl_b7e6ecc9bdd74d,7719.3,2026-08-07,RAZORPAY SETTLEMENT stl_b7e6ecc9bdd74d
stl_7c09a9fe302a4f,22596.47,2026-08-11,RAZORPAY SETTLEMENT stl_7c09a9fe302a4f
stl_f01b6308266f4c,21528.03,2026-08-04,RAZORPAY SETTLEMENT stl_f01b6308266f4c
stl_5b689c97580f48,22718.19,2026-08-13,RAZORPAY SETTLEMENT stl_5b689c97580f48
stl_301c9966807b46,9508.96,2026-08-07,RAZORPAY SETTLEMENT stl_301c9966807b46
stl_4234160b3ec447,7236.36,2026-08-11,RAZORPAY SETTLEMENT stl_4234160b3ec447
stl_14b2a7b01fa34b,21116.94,2026-08-14,RAZORPAY SETTLEMENT stl_14b2a7b01fa34b
stl_8ee5a2ad8d2a41,23930.86,2026-08-23,RAZORPAY SETTLEMENT stl_8ee5a2ad8d2a41
stl_f297209d8fe444,-2217.16,2026-08-28,RAZORPAY SETTLEMENT stl_f297209d8fe444 (refund adj.)
stl_edge_case_01,8916.3,2026-08-18,RAZORPAY SETTLEMENT stl_edge_case_01
