order_id,order_date,gross_amount,channel,contracted_mdr,refund_amount,linked_account_id,expected_settlement_date,expected_net_amount
order_7235e9706a714c,2026-08-08,13493.25,online_domestic,0.02,0.0,,2026-08-10,13161.31
order_8bc50f3b609d42,2026-08-18,23157.16,online_domestic,0.02,0.0,,2026-08-20,22587.49
order_1d7b13f9cff04d,2026-08-08,19467.2,online_domestic,0.02,0.0,,2026-08-10,18988.31
order_25d2f076790c4e,2026-08-19,1934.86,pos,0.02,0.0,,2026-08-21,1887.26
order_6caca84f5bd54b,2026-08-21,22151.67,international_card,0.02,0.0,acc_7b3da27096444c,2026-08-25,16091.02
order_b2c70ea10b5547,2026-08-19,6789.72,international_card,0.02,0.0,,2026-08-23,6622.7
order_4020c09935864f,2026-08-05,5717.22,pos,0.02,0.0,,2026-08-07,5576.58
order_cc51c17140a549,2026-08-05,21569.24,pos,0.02,0.0,,2026-08-07,21038.64
order_50a23fd58c684d,2026-08-13,15031.3,international_card,0.02,3213.95,,2026-08-17,11447.58
order_0400aac29d8748,2026-08-01,24285.64,pos,0.02,0.0,,2026-08-03,23688.21
order_1311354a175444,2026-08-09,13563.17,pos,0.02,0.0,,2026-08-11,13229.52
order_557eae65bde346,2026-08-01,4206.5,pos,0.02,0.0,,2026-08-03,4103.02
order_d452dedc6ac747,2026-08-06,12664.48,pos,0.02,0.0,,2026-08-08,12352.94
order_f5c13904c6f147,2026-08-21,7671.59,pos,0.02,0.0,,2026-08-23,7482.87
order_07ed6ee6f8db4d,2026-08-18,19134.02,pos,0.02,0.0,,2026-08-20,18663.33
order_24c2f3a2a9794b,2026-08-04,12368.56,international_card,0.02,0.0,,2026-08-08,12064.29
order_00b00233bf8d4e,2026-08-08,6214.47,pos,0.02,1367.78,,2026-08-10,4693.82
order_b9172418eed44e,2026-08-18,2009.55,online_domestic,0.02,0.0,acc_c032a8c18ec740,2026-08-20,1538.19
order_caec4d946f7d41,2026-08-20,6846.9,international_card,0.02,0.0,,2026-08-24,6678.46
order_919a6ec8fdca43,2026-08-07,18955.05,pos,0.02,0.0,,2026-08-09,18488.75
order_1db92872c0484c,2026-08-15,16351.99,pos,0.02,0.0,,2026-08-17,15949.73
order_67f0df10c3624a,2026-08-01,1881.44,pos,0.02,0.0,,2026-08-03,1835.16
order_ec09f67d051749,2026-08-21,477.61,online_domestic,0.02,0.0,,2026-08-23,465.86
order_d2f97438601045,2026-08-03,21532.99,pos,0.02,0.0,,2026-08-05,21003.28
order_e002ea4b0c734b,2026-08-19,13619.08,pos,0.02,0.0,,2026-08-21,13284.05
order_67ed4d1f40a741,2026-08-07,20245.18,online_domestic,0.02,0.0,acc_bc3636a95b2146,2026-08-09,16007.55
order_a03f7942b2924c,2026-08-02,11835.51,pos,0.02,0.0,,2026-08-04,11544.35
order_050b194193114c,2026-08-11,1797.13,online_domestic,0.02,0.0,,2026-08-13,1752.92
order_0c2c657ebbc246,2026-08-14,11380.75,online_domestic,0.02,0.0,,2026-08-16,11100.78
order_29e40b197f9c44,2026-08-18,20258.15,online_domestic,0.02,0.0,acc_4edea99c86c74a,2026-08-20,14346.71
order_0bc20b8273b645,2026-08-08,24234.21,online_domestic,0.02,0.0,,2026-08-10,23638.06
order_63efb7c849364d,2026-08-06,22590.34,international_card,0.02,0.0,acc_c04ee133fe3c4a,2026-08-10,15589.5
order_d8a7eb07b21842,2026-08-18,7345.66,pos,0.02,765.26,,2026-08-20,6399.7
order_be6230ca624e42,2026-08-02,5677.21,pos,0.02,404.98,,2026-08-04,5132.57
order_b04885561fe44c,2026-08-19,1711.98,international_card,0.02,0.0,,2026-08-23,1669.87
order_f06b1f1d06ac48,2026-08-17,4188.59,online_domestic,0.02,309.06,,2026-08-19,3776.49
order_4b54bd61fa0141,2026-08-19,10273.26,online_domestic,0.02,808.45,,2026-08-21,9212.09
order_268dc78bc3684e,2026-08-19,16537.12,pos,0.02,0.0,,2026-08-21,16130.31
order_c950547e42764d,2026-08-11,16842.23,online_domestic,0.02,0.0,,2026-08-13,16427.92
order_4fcd4e96134b4f,2026-08-15,16243.87,international_card,0.02,0.0,,2026-08-19,15844.27
order_a7e4797634d54a,2026-08-20,530.09,pos,0.02,66.05,,2026-08-22,451.0
order_6c3491ac6a0a47,2026-08-12,6850.45,online_domestic,0.02,0.0,,2026-08-14,6681.93
order_b4100042ff994c,2026-08-18,4196.35,pos,0.02,0.0,,2026-08-20,4093.11
order_0b08954bab3045,2026-08-17,20235.37,online_domestic,0.02,0.0,,2026-08-19,19737.57
order_ded14a57e5214f,2026-08-04,23314.37,online_domestic,0.02,0.0,,2026-08-06,22740.84
order_7fe4523b2bf94f,2026-08-05,18637.69,international_card,0.02,0.0,,2026-08-09,18179.2
order_800c14b591fb4c,2026-08-21,8769.14,international_card,0.02,0.0,,2026-08-25,8553.42
order_56e809290cc648,2026-08-02,22731.53,online_domestic,0.02,0.0,,2026-08-04,22172.34
order_40b0333e788c42,2026-08-11,1388.94,online_domestic,0.02,0.0,,2026-08-13,1354.77
order_1d4300653d3a48,2026-08-18,18608.4,pos,0.02,1420.48,,2026-08-20,16730.15
order_70f5b29341ac42,2026-08-05,22112.73,pos,0.02,0.0,acc_520fdb70417e4d,2026-08-07,16913.92
order_2e07942edb0e49,2026-08-02,7913.98,international_card,0.02,0.0,,2026-08-06,7719.3
order_2584c41e18d041,2026-08-18,2839.0,international_card,0.02,0.0,,2026-08-22,2769.16
order_419c84eae33441,2026-08-08,23166.37,online_domestic,0.02,0.0,,2026-08-10,22596.47
order_3891a2324d0f41,2026-08-01,22070.98,online_domestic,0.02,0.0,,2026-08-03,21528.03
order_239264fc1c9e4e,2026-08-08,23291.15,international_card,0.02,0.0,,2026-08-12,22718.19
order_fdad12bd087e44,2026-08-02,9748.78,international_card,0.02,0.0,,2026-08-06,9508.95
order_3bf1962180e240,2026-08-08,8936.56,online_domestic,0.02,0.0,acc_f8cb08f13fc44e,2026-08-10,7236.36
order_018a759ce69646,2026-08-09,21649.52,international_card,0.02,0.0,,2026-08-13,21116.94
order_d2a554cfac1a4e,2026-08-18,24534.4,international_card,0.02,2217.16,,2026-08-22,21713.7
order_edge_case_chargeback01,2026-08-15,9500.0,online_domestic,0.02,0.0,,2026-08-17,9143.4
