settlement_id,order_id,settlement_date,channel,gross_amount,adjustment,tax_tds,fee,gst_on_fee,transfer,refund,net_amount,status
stl_ff8bfa4f117043,order_b0c3015f138d45,2026-08-10,online_domestic,13493.25,0.0,13.49,269.87,48.58,0.0,0.0,13161.31,settled
stl_fe7d9bb6c2d64c,order_36df3881e3c742,2026-08-20,online_domestic,23157.16,0.0,23.16,463.14,83.37,0.0,0.0,22587.49,on_hold
stl_a267a387df9b41,order_d5ee285e585d4e,2026-08-10,online_domestic,19467.2,0.0,19.47,389.34,70.08,0.0,0.0,18988.31,settled
stl_8b16688727444a,order_ef8576d5551444,2026-08-21,pos,1934.86,0.0,0.97,38.7,6.97,0.0,0.0,1888.22,settled
stl_cbd2d399695d44,order_950926d5086640,2026-08-25,international_card,22151.67,0.0,22.15,443.05,79.75,5515.72,0.0,16091.0,settled
stl_e6849287eb8f43,order_dac33c9a87924d,2026-08-23,international_card,6789.72,0.0,6.79,135.79,24.44,0.0,0.0,6622.7,settled
stl_b98e4499b04b41,order_8b82e7daa25249,2026-08-07,pos,5717.22,0.0,5.72,114.34,20.58,0.0,0.0,5576.58,settled
stl_754dd2e9fc7342,order_799d325e49c449,2026-08-07,pos,21569.24,0.0,21.57,431.38,77.65,0.0,0.0,21038.64,settled
stl_be19e391d1ab44,order_071c95f71fc94e,2026-08-17,international_card,15031.3,0.0,15.03,300.63,54.11,0.0,0.0,14661.53,settled
stl_bf0d214831c742,order_071c95f71fc94e,2026-08-22,international_card,0.0,0.0,0.0,0.0,0.0,0.0,3213.95,-3213.95,settled
stl_644da9f43fa24c,order_463c4afa43e347,2026-08-03,pos,24285.64,0.0,24.29,485.71,87.43,0.0,0.0,23688.21,settled
stl_82dd152ea21b4a,order_7a738e9747b146,2026-08-11,pos,13563.17,0.0,13.56,271.26,48.83,0.0,0.0,13229.52,settled
stl_afbe75854b6a47,order_e8428f6989d64f,2026-08-03,pos,4206.5,0.0,4.21,84.13,15.14,0.0,0.0,4103.02,settled
stl_89c4dfb867da40,order_aac5510f108f4d,2026-08-08,pos,12664.48,0.0,12.66,253.29,45.59,0.0,0.0,12352.94,settled
stl_67477d54b45f46,order_aac5510f108f4d,2026-08-08,pos,12664.48,0.0,12.66,253.29,45.59,0.0,0.0,12352.94,settled
stl_e0a77d65fa8542,order_2a87a46c3c1145,2026-08-23,pos,7671.59,0.0,7.67,153.43,27.62,0.0,0.0,7482.87,settled
